id,name,sex,background,party,topic,type,label
SFiedler,Sebastian Fiedler,1,7,0,0,1,113
PBriken,Peer Briken,1,4,0,0,1,114
830,Soziales - Missbrauchsskandal,0,0,0,4,0,115
WBosbach,Wolfgang Bosbach,1,1,1,0,1,116
IBaydar,Idil Baydar,2,8,0,0,1,117
831,Politik - Polizei,0,0,0,1,0,118
MSchwesig,Manuela Schwesig,2,1,2,0,1,119
UTeichert,Ute Teichert,2,4,0,0,1,120
JMarinic,Jagoda Marinic,2,3,0,0,1,121
832,Corona - Ungleichheiten,0,0,0,3,0,122
SWagenknecht,Sahra Wagenknecht,2,1,4,0,1,123
SDavid-Wilp,Sudha David-Wilp,2,4,0,0,1,124
SNavidi,Sandra Navidi,2,4,0,0,1,125
MSchnitzer,Monika Schnitzer,2,4,0,0,1,126
833,Corona - Trump und die Weltwirtschaft,0,0,0,3,0,127
KLaumann,Karl-Josef Laumann,1,1,1,1,1,128
HElbracht,Heidrun Elbracht,2,7,0,0,1,129
834,"Corona - Virus, Wissenschaft, Politik",0,0,0,3,0,130
NGruenewald,Nicole Gruenewald,2,2,0,0,1,131
MMueller,Michael Mueller,1,1,2,0,1,132
835,Corona - Regeln und Massnahmen,0,0,0,3,0,133
GGysi,Gregor Gysi,1,1,4,0,1,134
MWeisband,Marina Weisband,2,1,3,0,1,135
SNemzowa,Schanna Borissowna Nemzowa,2,3,0,0,1,136
ARahr,Alexander Rahr,1,4,0,0,1,137
TSnyder,Timothy Snyder,1,4,0,0,1,138
836,Politik - Putin und Trump,0,0,0,1,0,139
SBeckmann,Sandra Beckmann,2,2,0,0,1,140
KHaeusgen,Karl Haeusgen,1,2,0,0,1,141
KZastrow,Klaus-Dieter Zastrow,1,4,0,0,1,142
837,Corona - Risikopatient Wirtschaft,0,0,0,3,0,143
VWissing,Volker Wissing,1,1,5,0,1,144
SKatzenstein,Sibylle Katzenstein,2,4,0,0,1,145
UProtzer,Ulrike Protzer,2,4,0,0,1,146
838,Corona - Risiko Herbst,0,0,0,3,0,147
AKausche,Angelika Kausche,2,1,7,0,1,148
PRough,Peter Rough,1,4,7,0,1,149
JPuglierin,Jana Puglierin,2,4,0,0,1,150
CKleber,Claus Kleber,1,3,0,0,1,151
839,Politik - Trump,0,0,0,1,0,152
IEckerle,Isabella Eckerle,2,4,0,0,1,153
JNida-Ruemelin,Julian Nida-Ruemelin,1,4,0,0,1,154
PLarscheid,Patrick Larscheid,1,4,0,0,1,155
ULemper,Ute Lemper,2,7,0,0,1,156
840,Corona - Trump,0,0,0,3,0,157
RGottschalk,Rene Gottschalk,1,4,0,0,1,158
CvonKretschmann,Caroline von Kretschmann,2,2,0,0,1,159
841,Corona - Chaos,0,0,0,3,0,160
PTschentscher,Peter Tschentscher,1,1,2,0,1,161
GMascolo,Georg Mascolo,1,3,0,0,1,162
SHerold,Susanne Herold,2,4,0,0,1,163
SOschmann,Stefan Oschmann,1,2,0,0,1,164
842,Corona - Wende,0,0,0,3,0,165
AGassen,Andreas Gassen,1,4,0,0,1,166
843,Corona - Lockdown light,0,0,0,0,0,167
MRichenhagen,Martin Richenhagen,1,2,0,0,1,168
BWolfmeier,Benjamin Wolfmeier,1,1,6,0,1,169
TGottschalk,Thomas Gottschalk,1,7,0,0,1,170
844,Politik - US-Wahl,0,0,0,1,0,171
SKluge,Stefan Kluge,1,4,0,0,1,172
PKremsner,Peter Kremsner,1,4,0,0,1,173
845,Corona - Kraftakt zur Impfung,0,0,0,3,0,174
DSchwarzer,Daniela Schwarzer,2,4,0,0,1,175
SMekhennet,Souad Mekhennet,2,3,0,0,1,176
