id,name,sex,background,party,topic,type
832,Corona - Ungleichheiten,0,0,0,3,0
SWagenknecht,Sahra Wagenknecht,2,1,4,0,1
SDavid-Wilp,Sudha David-Wilp,2,4,0,0,1
SNavidi,Sandra Navidi,2,4,0,0,1
MSchnitzer,Monika Schnitzer,2,4,0,0,1
833,Corona - Trump und die Weltwirtschaft,0,0,0,3,0
KLaumann,Karl-Josef Laumann,1,1,1,1,1
HElbracht,Heidrun Elbracht,2,7,0,0,1
834,"Corona - Virus, Wissenschaft, Politik",0,0,0,3,0
NGruenewald,Nicole Gruenewald,2,2,0,0,1
MMueller,Michael Mueller,1,1,2,0,1
835,Corona - Regeln und Massnahmen,0,0,0,3,0
GGysi,Gregor Gysi,1,1,4,0,1
MWeisband,Marina Weisband,2,1,3,0,1
SNemzowa,Schanna Borissowna Nemzowa,2,3,0,0,1
ARahr,Alexander Rahr,1,4,0,0,1
TSnyder,Timothy Snyder,1,4,0,0,1
836,Politik - Putin und Trump,0,0,0,1,0
SBeckmann,Sandra Beckmann,2,2,0,0,1
KHaeusgen,Karl Haeusgen,1,2,0,0,1
KZastrow,Klaus-Dieter Zastrow,1,4,0,0,1
837,Corona - Risikopatient Wirtschaft,0,0,0,3,0
VWissing,Volker Wissing,1,1,5,0,1
SKatzenstein,Sibylle Katzenstein,2,4,0,0,1
UProtzer,Ulrike Protzer,2,4,0,0,1
838,Corona - Risiko Herbst,0,0,0,3,0
AKausche,Angelika Kausche,2,1,7,0,1
PRough,Peter Rough,1,4,7,0,1
JPuglierin,Jana Puglierin,2,4,0,0,1
CKleber,Claus Kleber,1,3,0,0,1
839,Politik - Trump,0,0,0,1,0
IEckerle,Isabella Eckerle,2,4,0,0,1
JNida-Ruemelin,Julian Nida-Ruemelin,1,4,0,0,1
PLarscheid,Patrick Larscheid,1,4,0,0,1
ULemper,Ute Lemper,2,7,0,0,1
840,Corona - Trump,0,0,0,3,0
RGottschalk,Rene Gottschalk,1,4,0,0,1
CvonKretschmann,Caroline von Kretschmann,2,2,0,0,1
841,Corona - Chaos,0,0,0,3,0
PTschentscher,Peter Tschentscher,1,1,2,0,1
GMascolo,Georg Mascolo,1,3,0,0,1
SHerold,Susanne Herold,2,4,0,0,1
SOschmann,Stefan Oschmann,1,2,0,0,1
842,Corona - Wende,0,0,0,3,0
AGassen,Andreas Gassen,1,4,0,0,1
843,Corona - Lockdown light,0,0,0,0,0
MRichenhagen,Martin Richenhagen,1,2,0,0,1
BWolfmeier,Benjamin Wolfmeier,1,1,6,0,1
TGottschalk,Thomas Gottschalk,1,7,0,0,1
844,Politik - US-Wahl,0,0,0,1,0
SKluge,Stefan Kluge,1,4,0,0,1
