id,name,sex,background,party,topic,type,label
SRoeser,Sarna Roeser,2,2,0,0,1,SRoe
LFeld,Lars Feld,1,4,0,0,1,LFel
828,Wirtschaft - Corona-Abschwung,0,0,0,2,0,828 - COR
KNocun,Katharina Nocun,2,5,0,0,1,KNoc
MPech,Miriam Pech,2,7,0,0,1,MPec
SPufpaff,Sebastian Pufpaff,1,8,0,0,1,SPuf
829,Corona - Leichtsinn,0,0,0,3,0,829 - COR
HReul,Herbert Reul,1,1,1,0,1,HReu
SHoward,Sonja Howard,2,5,0,0,1,SHow
JvonWeiler,Julia von Weiler,2,5,0,0,1,Jvon
SFiedler,Sebastian Fiedler,1,7,0,0,1,SFie
PBriken,Peer Briken,1,4,0,0,1,PBri
830,Soziales - Missbrauchsskandal,0,0,0,4,0,830 - SOZ
WBosbach,Wolfgang Bosbach,1,1,1,0,1,WBos
IBaydar,Idil Baydar,2,8,0,0,1,IBay
831,Politik - Polizei,0,0,0,1,0,831 - COR
MSchwesig,Manuela Schwesig,2,1,2,0,1,MSch
UTeichert,Ute Teichert,2,4,0,0,1,UTei
JMarinic,Jagoda Marinic,2,3,0,0,1,JMar
832,Corona - Ungleichheiten,0,0,0,3,0,832 - COR
SWagenknecht,Sahra Wagenknecht,2,1,4,0,1,SWag
SDavid-Wilp,Sudha David-Wilp,2,4,0,0,1,SDav
SNavidi,Sandra Navidi,2,4,0,0,1,SNav
MSchnitzer,Monika Schnitzer,2,4,0,0,1,MSch
833,Corona - Trump und die Weltwirtschaft,0,0,0,3,0,833 - COR
KLaumann,Karl-Josef Laumann,1,1,1,0,1,KLau
HElbracht,Heidrun Elbracht,2,7,0,0,1,HElb
834,"Corona - Virus, Wissenschaft, Politik",0,0,0,3,0,834 - COR
NGruenewald,Nicole Gruenewald,2,2,0,0,1,MGru
MMueller,Michael Mueller,1,1,2,0,1,MMue
835,Corona - Regeln und Massnahmen,0,0,0,3,0,835 - COR
GGysi,Gregor Gysi,1,1,4,0,1,GGys
MWeisband,Marina Weisband,2,1,3,0,1,MWei
SNemzowa,Schanna Borissowna Nemzowa,2,3,0,0,1,SNem
ARahr,Alexander Rahr,1,4,0,0,1,ARah
TSnyder,Timothy Snyder,1,4,0,0,1,TSny
836,Politik - Putin und Trump,0,0,0,1,0,836 - COR
SBeckmann,Sandra Beckmann,2,2,0,0,1,SBec
KHaeusgen,Karl Haeusgen,1,2,0,0,1,KHae
KZastrow,Klaus-Dieter Zastrow,1,4,0,0,1,KZas
837,Corona - Risikopatient Wirtschaft,0,0,0,3,0,837 - COR
VWissing,Volker Wissing,1,1,5,0,1,VWis
SKatzenstein,Sibylle Katzenstein,2,4,0,0,1,SKat
UProtzer,Ulrike Protzer,2,4,0,0,1,UPro
838,Corona - Risiko Herbst,0,0,0,3,0,838 - COR
AKausche,Angelika Kausche,2,1,7,0,1,AKau
PRough,Peter Rough,1,4,7,0,1,PRou
JPuglierin,Jana Puglierin,2,4,0,0,1,JPug
CKleber,Claus Kleber,1,3,0,0,1,CKle
839,Politik - Trump,0,0,0,1,0,839 - POL
IEckerle,Isabella Eckerle,2,4,0,0,1,IEck
JNida-Ruemelin,Julian Nida-Ruemelin,1,4,0,0,1,JNid
PLarscheid,Patrick Larscheid,1,4,0,0,1,PLar
ULemper,Ute Lemper,2,7,0,0,1,ULem
840,Corona - Trump,0,0,0,3,0,840 - COR
RGottschalk,Rene Gottschalk,1,4,0,0,1,RGot
CvonKretschmann,Caroline von Kretschmann,2,2,0,0,1,Cvon
841,Corona - Chaos,0,0,0,3,0,841 - COR
PTschentscher,Peter Tschentscher,1,1,2,0,1,PTse
GMascolo,Georg Mascolo,1,3,0,0,1,GMas
SHerold,Susanne Herold,2,4,0,0,1,SHer
SOschmann,Stefan Oschmann,1,2,0,0,1,SOsch
842,Corona - Wende,0,0,0,3,0,842 - COR
AGassen,Andreas Gassen,1,4,0,0,1,AGas
843,Corona - Lockdown light,0,0,0,0,0,843 - COR
MRichenhagen,Martin Richenhagen,1,2,0,0,1,MRic
BWolfmeier,Benjamin Wolfmeier,1,1,6,0,1,BWol
TGottschalk,Thomas Gottschalk,1,7,0,0,1,TGot
844,Politik - US-Wahl,0,0,0,1,0,844 - POL
SKluge,Stefan Kluge,1,4,0,0,1,SKlu
PKremsner,Peter Kremsner,1,4,0,0,1,PKre
845,Corona - Kraftakt zur Impfung,0,0,0,3,0,845 - COR
DSchwarzer,Daniela Schwarzer,2,4,0,0,1,DSch
SMekhennet,Souad Mekhennet,2,3,0,0,1,SMek
846,Politik - Trump Abgang,0,0,0,1,0,846 - COR
ULueken,Ulrike Lueken,2,4,0,0,1,ULue
MMittermeier,Michael Mittermeier,1,8,0,0,1,MMit
847,Corona - Weihnachten und Winter,0,0,0,3,0,847 - COR
TChrupalla,Tino Chrupalla,1,1,6,0,1,TChr
MJung,Matthias Jung,1,4,0,0,1,MJun
848,Politik - Rechts und Links,0,0,0,1,0,848 - POL
FMontgomery,Frank Ulrich Montgomery,1,4,0,0,1,FMon
849,Corona - Winter,0,0,0,3,0,849 - COR
LFederle,Lisa Federle,2,4,0,0,1,LFed
850,Corona - Impfen und Shutdown,0,0,0,3,0,850 - COR
