from,to,weight
MK,KS,3
MK,MS,3
MK,LK,1
MK,EH,1
MK,FM,1
MK,JM,2
MS,KS,2
MS,LK,3
MS,EH,2
MS,FM,2
KS,LK,1
KS,EH,2
KS,FM,1
KS,PH,2
LK,EH,2
EH,FM,2
FM,JM,2
JM,PH,2
PH,FM,1
